,id,Star_name_x,Distance_x,Mass_x,Radius_x,Star_name_y,Distance_y,Mass_y,Radius_y,Luminosity
29,29,2MASS J02431371−2453298,35.0,0.031501404000000004,0.10173536999999999,Alnilam,"2,000",0.030546816,4.316046,"380,000"
30,30,LP 771-21,53.0,0.074457864,0.11098404,Gamma Velorum,"01,100",0.008591292,0.616578,"170,000"
31,31,2MASS J02511327+0047364,0.0,0.0,0.0,Alnair,0101,0.003818352,0.3493942,260
32,32,2MASS J02535980+3206373,184.0,0.06204822,0.19524969999999997,Alioth,0081,0.0027683052,0.4316046,110
33,33,WISE J0254+0223,24.0,0.06204822,0.19524969999999997,Alnitak,01050,0.031501404000000004,2.0552599999999996,"120,000"
34,34,DEN 0255-4700,16.2,0.07636704,0.09968010999999999,Dubhe,0120,0.004056999,3.08289,300
35,35,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968010999999999,Mirfak,0590,0.008113998,6.987883999999999,"5,000"
36,36,2MASS J03205965+1854233,47.0,0.084003744,0.11817744999999999,Wezen,"1,600",0.016227996,20.552599999999998,"82,000"
37,37,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,Sargas,0270,0.0054411516,2.6718379999999997,"1,800"
38,38,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762484999999999,Kaus Australis,0140,0.003341058,0.6987884,360
39,39,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999,Avior,0630,0.008591292,13.35919,"60,000"
40,40,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070773999999999,Alkaid,0104,0.0058229868,0.3493942,"1,350"
41,41,2MASS J03341218-4953322,27.0,0.069684924,0.10687352,Menkalinan,081,0.0022814653200000003,0.28465351,50
42,42,LP 944-20,20.9,0.069684924,0.14695108999999998,Atria,0390,0.006682116,9.454196,"5,500"
43,43,2MASP J0345432+254023,88.0,0.070639512,0.10790115,Alhena,0109,0.0026728464,0.33911789999999997,120
44,44,Teide 1,380.0,0.05250234,0.38844413999999994,Peacock,0180,0.005632069200000001,0.49326239999999993,"2,200"
45,45,2MASS J03510004-0052452,48.0,0.09736797600000001,0.13050900999999998,Alsephina[2],0080,0.0022910112,0.29801269999999996,90
46,46,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,Mirzam,0500,0.012886938,1.0276299999999998,"27,000"
47,47,DENIS-P J035726.9-441730 [de],130.0,0.0,0.0,Polaris,0430,0.0051547752,4.007757,"2,500"
48,48,2MASS J04151954−0935066,18.6,0.028637640000000002,0.09762484999999999,Alphard,0180,0.002863764,5.1381499999999996,780
49,49,SDSSp J042348.57-041403.5 [de],50.0,0.0,0.0,Mintaka,01200,0.022910112,1.6955894999999999,"190,000"
50,50,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167000000001,Scheat,0196,0.0020046348,9.762485,"1,500"
51,51,2MASS J04351612-1606574,34.0,0.0954588,0.12948137999999998,Almaaz,0653,0.014318820000000001,14.386819999999998,"43,000"
52,52,2MASS J04362788-4114465,142.0,0.037228932,0.20244310999999998,Rasalgethi,0360,0.0026728464,28.773639999999997,"8,300"
53,53,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968010999999999,Tau Ceti,011.9,0.0007474424040000001,0.09176735899999999,0.52
54,54,2MASS J04414489+2301513,470.0,0.018137172,0.0,Delta Pavonis,019.92,0.000945996708,0.12537086,1.22
55,55,2MASS J04433764+0002040,82.0,0.021000936,0.18291813999999998,Ran,010.48,0.00078276216,0.07604462,0.34
56,56,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,V382 Carinae,"08,900",0.01909176,49.840055,"212,000"
57,57,2MASS J04510093-3402150 [de],69.0,0.068730336,0.10687352,Eta Carinae,"07,500",0.0954588,0.0,"5,000,000"
58,58,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,Delta Cephei,0887,0.004295646,4.5729535,"2,000"
59,59,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181293999999997,Mu Cephei,"06,000",0.0183280896,99.88563599999999,"135,000"
60,60,2MASS J05160945-0445499 [de],73.0,0.044865636,0.09968010999999999,Titawin,044.25,0.0012123267600000001,0.15208924,3.57
61,61,2MASS J0523−1403,40.0,0.064911984,0.10379063,Rho Cassiopeiae,"08,154",0.021000936,0.0,"347,000 - 530,000"
62,62,2MASS 0532+8246,81.0,0.079230804,0.0,P Cygni,"05,545",0.028637640000000002,7.809988,"610,000"
63,63,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063,La Superba,"01,000",0.0,0.0,"2,472 - 5,800"
64,64,2MASS J05591914-1404488 [de],34.0,0.0,0.0,VV Cephei,"04,900",0.0173735016,0.0,"200,000"
65,65,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998,61 Cygni,011.41,0.0006682116,0.068337395,0.153
66,66,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,R Doradus,0178,0.0,30.623374,"4,350"
67,67,WISEP J061135.13-041024.0A,69.0,0.06204822,0.0,Polaris Australis,0281,0.00151779492,0.38433362,38
68,68,WISEP J061135.13-041024.0B,69.0,0.050593164,0.0,R Coronae Borealis,"04,566",0.0008113998,8.734855,"10,000"
69,69,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173536999999999,54 Piscium,036.1,0.0007254868800000001,0.09659721999999998,0.52
70,70,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,Mira,0300,0.0011455056,38.02231,"9,000"
71,71,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115,RW Cephei,"014,000",0.0132687732,0.0,"417,000"
72,72,2MASS J07003664+3157266 [de],40.0,0.0,0.0,Lacaille 8760,012.87,0.0005727528,0.05240913,0.072
73,73,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,V838 Monocerotis,"019,896",0.0,0.0,"15,000"
74,74,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999,HD 140283,0190,0.0,0.14386819999999997,3.83
75,75,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998,II Pegasi,0130,0.0007636704000000001,0.3493942,1.06
76,76,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998,VY Canis Majoris,"03,900",0.016227996,0.0,"178,000 - 270,000"
77,77,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.09659721999999998,Pistol Star,"025,000",0.0954588,32.884159999999994,"1,700,000"
78,78,2MASS J0746425+200032 [fr],49.6,0.0,0.0,S Doradus,"0169,000",0.022910112,39.04994,"910,000"
79,79,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,UY Scuti,"05,100",0.0,77.58606499999999,"86,300 - 87,100"
80,80,2MASS J07522390+1612157,60.0,0.064911984,0.20655362999999996,Barnard's Star,05.98,0.00013364232000000003,0.0205526,0.0035
81,81,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998,Luhman 16,06.52,3.818352e-05,0.0,?
82,82,DENIS J082303.1−491201A,67.0,0.042001872,0.0,Proxima Centauri,04.25,0.00011455056,0.015414449999999998,0.0017
83,83,DENIS J082303.1−491201B,67.0,0.026728464,0.0,KIC 8462852,"01,470",0.00136506084,0.16236554,4.68
84,84,2MASS J08251968+2115521 [de],35.0,0.049638576000000004,0.10070773999999999,R136a1,"0163,000",0.27683052,3.288416,"8,710,000"
85,85,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.10173536999999999,Melnick 42,"0163,000",0.180417132,2.1682993,"3,600,000"
86,86,LHS 2021,55.0,0.084003744,0.11817744999999999,WR 102,"018,134",0.018137172,0.04007757,"282,000"
87,87,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865247999999999,VFTS 352,"0164,000",0.05486971824,1.48698061,"330,000"
88,88,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,YBP 1194,"02,772",0.00096413388,0.10173536999999999,0.98
89,89,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,Gliese 1214,047.5,0.00015273408,0.02158023,0.0033
90,90,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,NML Cygni,"05,251",0.0477294,0.0,"229,000"
91,91,2MASSI J0859254-194926 [de],50.0,0.0477294,0.10070773999999999,VB 10,018.72,7.15941e-05,0.0102763,0.0004
92,92,2MASSW J0920122+351742 [de],95.0,0.0,0.0,WOH G64,"0163,000",0.0,0.0,"340-589,000"
93,93,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998,TRAPPIST-1,039.6,8.4958332e-05,0.012331559999999998,0.0005
94,94,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999,2MASS J0523-1403,040.3,6.682116000000001e-05,0.008837617999999998,0.00013
95,95,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865247999999999,WISE 0855−0714,07.27,2.8637640000000003e-06,0.0,?
96,96,2MASS J10073369-4555147,46.0,0.042001872,0.09659721999999998,Icarus,"014,400,000,000",0.031501404000000004,0.0,"850,000"
